2022-02-02T23:17:50+01:00	WARN	Graceful Shutdown	gracefulshutdown/plugin.go:41	Received shutdown request - waiting (max 60) to finish processing ...
2022-02-03T15:11:05+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:06+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:07+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:09+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:10+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:11+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:12+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:13+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:15+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:16+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:17+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:18+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:20+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:21+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:22+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:23+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:24+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:26+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:27+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:28+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:29+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:30+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:32+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:11:33+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
